From Date,To Date,PM2.5
13-01-2019 20:00,14-01-2019 00:00,114.38
14-01-2019 00:00,14-01-2019 04:00,178.93
14-01-2019 04:00,14-01-2019 08:00,374.73
14-01-2019 08:00,14-01-2019 12:00,378
14-01-2019 12:00,14-01-2019 16:00,60.73
14-01-2019 16:00,14-01-2019 20:00,115.54
14-01-2019 20:00,15-01-2019 00:00,103.57
15-01-2019 00:00,15-01-2019 04:00,65
15-01-2019 04:00,15-01-2019 08:00,
15-01-2019 08:00,15-01-2019 12:00,
15-01-2019 12:00,15-01-2019 16:00,
15-01-2019 16:00,15-01-2019 20:00,
15-01-2019 20:00,16-01-2019 00:00,
16-01-2019 00:00,16-01-2019 04:00,
16-01-2019 04:00,16-01-2019 08:00,
16-01-2019 08:00,16-01-2019 12:00,
16-01-2019 12:00,16-01-2019 16:00,
16-01-2019 16:00,16-01-2019 20:00,
16-01-2019 20:00,17-01-2019 00:00,
17-01-2019 00:00,17-01-2019 04:00,
17-01-2019 04:00,17-01-2019 08:00,
17-01-2019 08:00,17-01-2019 12:00,
17-01-2019 12:00,17-01-2019 16:00,94.7
17-01-2019 16:00,17-01-2019 20:00,107.33
17-01-2019 20:00,18-01-2019 00:00,101.13
18-01-2019 00:00,18-01-2019 04:00,118.73
18-01-2019 04:00,18-01-2019 08:00,157
18-01-2019 08:00,18-01-2019 12:00,162.58
18-01-2019 12:00,18-01-2019 16:00,97.5
18-01-2019 16:00,18-01-2019 20:00,98.29
18-01-2019 20:00,19-01-2019 00:00,115.07
19-01-2019 00:00,19-01-2019 04:00,107.43
19-01-2019 04:00,19-01-2019 08:00,156.46
19-01-2019 08:00,19-01-2019 12:00,200.2
19-01-2019 12:00,19-01-2019 16:00,99.47
19-01-2019 16:00,19-01-2019 20:00,79.13
19-01-2019 20:00,20-01-2019 00:00,135.79
20-01-2019 00:00,20-01-2019 04:00,153
20-01-2019 04:00,20-01-2019 08:00,155.5
20-01-2019 08:00,20-01-2019 12:00,132.94
20-01-2019 12:00,20-01-2019 16:00,78.79
20-01-2019 16:00,20-01-2019 20:00,86.81
20-01-2019 20:00,21-01-2019 00:00,134.15
21-01-2019 00:00,21-01-2019 04:00,153.29
21-01-2019 04:00,21-01-2019 08:00,187.44
21-01-2019 08:00,21-01-2019 12:00,228.13
21-01-2019 12:00,21-01-2019 16:00,87.07
21-01-2019 16:00,21-01-2019 20:00,91.71
21-01-2019 20:00,22-01-2019 00:00,125.08
